product_id,variation_id,name,url,weight,depth,width,height,meta_title,meta_description,meta_keywords,tags,description,short_description,ncm,images,price,price_compare,model,gender,age_group,warranty,active,brand,category_1,category_2,category_3,reference,gtin,mpn,stock,color,variation,variation_price,sku
,,Lápis de Cor 12 cores Hello Kitty Leo e Leo.,,,,,,,,,,,,,,16.50,,,,,,,,,,,,,,6,,,,
,,Estojo Sonic  Tecido,,,,,,,,,,,,,,75.00,,,,,,,,,,,,,,2,,,,
,,Pratos Hello Kitty.,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,4,,,,
,,Borracha Retratil Sonic.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,6,,,,
,,Estojo de tecido Leo e Leo.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,8,,,,
,,Mochila Personagem.,,,,,,,,,,,,,,160.00,,,,,,,,,,,,,,11,,,,
,,Mini Fichario Sanrio.,,,,,,,,,,,,,,96,,,,,,,,,,,,,,8,,,,
,,Lápis Infinito  Sanrio.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,11,,,,
,,Caneta 10 Cores Sanrio.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,12,,,,
,,Perfurador de Papel.,,,,,,,,,,,,,,25,,,,,,,,,,,,,,3,,,,
,,Kit Borrachas Fast Food.,,,,,,,,,,,,,,25,,,,,,,,,,,,,,4,,,,
,,Borracha Big Fast Food.   ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Bolsinhade Silicone.,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,
,,Bolsinha Lotso.,,,,,,,,,,,,,,60,,,,,,,,,,,,,,3,,,,
,,Cx Som Lotso Peq,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Cx Som Lptso Média,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
,,Garrafa Azul Gato.,,,,,,,,,,,,,,52,,,,,,,,,,,,,,3,,,,
,,Garrafa Termica Dino.,,,,,,,,,,,,,,85.00,,,,,,,,,,,,,,2,,,,
,,Garrafa Termica Gato.,,,,,,,,,,,,,,85.00,,,,,,,,,,,,,,2,,,,
,,Bloco Adesivo Pata,,,,,,,,,,,,,,8.50,,,,,,,,,,,,,,9,,,,
,,Bloco Adesivo Neon.,,,,,,,,,,,,,,26.00,,,,,,,,,,,,,,2,,,,
,,Bloco Adesivo Neon c 4,,,,,,,,,,,,,,14.90,,,,,,,,,,,,,,1,,,,
,,Bloco Anotações 160F.,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,9,,,,
,,Aquarela 12 Cores c Pincel.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,3,,,,
,,kit Canetas Mentos.,,,,,,,,,,,,,,28,,,,,,,,,,,,,,10,,,,
,,Cartela Marca Texto Mentos,,,,,,,,,,,,,,34.50,,,,,,,,,,,,,,4,,,,
,,kit Massa Princesa.,,,,,,,,,,,,,,38,,,,,,,,,,,,,,5,,,,
,,Calculadora coração Letron 8 digits,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
,,mouse pad.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,5,,,,
,,Fichario Mickey.,,,,,,,,,,,,,,119.00,,,,,,,,,,,,,,2,,,,
,,kit Lápis Espaço Espaço.,,,,,,,,,,,,,,24.00,,,,,,,,,,,,,,5,,,,
,,kit Lápis Donuts.,,,,,,,,,,,,,,24.00,,,,,,,,,,,,,,5,,,,
,,Kit Lapis Brink.,,,,,,,,,,,,,,24.00,,,,,,,,,,,,,,3,,,,
,,Bloco Colorir Hello Kitty,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,4,,,,
,,Planner Hello.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,6,,,,
,,Agenda Hello.,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,3,,,,
,,Mini Fich. Hello Kitty.,,,,,,,,,,,,,,76.00,,,,,,,,,,,,,,2,,,,
,,Mino Fich. Bolinhas.,,,,,,,,,,,,,,63.00,,,,,,,,,,,,,,2,,,,
,,Maletas Massa Hello Kitty.,,,,,,,,,,,,,,84.00,,,,,,,,,,,,,,2,,,,
,,kit Marcador H.Potter.,,,,,,,,,,,,,,70.00,,,,,,,,,,,,,,1,,,,
,,Livros de Colorir Olhinhos.,,,,,,,,,,,,,,24.00,,,,,,,,,,,,,,5,,,,
,,Livros de Colorir Avangers.,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,4,,,,
,,Livros de Colorir Dinossa.,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,2,,,,
,,Livros de Colorir Stitch.,,,,,,,,,,,,,,48.00,,,,,,,,,,,,,,4,,,,
,,Livros de Colorir Princesas.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,5,,,,
,,Livros de Colorir Dino.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,5,,,,
,,Livros de Colorir Fazenda.,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,5,,,,
,,Livros de Colorir Cozy Time,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,7,,,,
,,Livros de Colorir Comfy Days.,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,4,,,,
,,Grafite 0.7 Tom e Jerry.,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,9,,,,
,,Cadernos Hello Kitty Colegial 80F,,,,,,,,,,,,,,52.00,,,,,,,,,,,,,,8,,,,
,,Clips diversos temas,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,20,,,,
,,Lapis de Cor Stitch.,,,,,,,,,,,,,,48.00,,,,,,,,,,,,,,6,,,,
,,Caneta Stitch 4 Cores.,,,,,,,,,,,,,,16.00,,,,,,,,,,,,,,4,,,,
,,Caneta Stitch Esfer. Preta c Marcador,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,4,,,,
,,Caneta Stitch Colorida.,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,9,,,,
,,Caneta Stitch 4 cores,,,,,,,,,,,,,,78,,,,,,,,,,,,,,12,,,,
,,Caderno Imã Sanrio,,,,,,,,,,,,,,77.00,,,,,,,,,,,,,,7,,,,
,,Pastas A4 Stitch.,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,12,,,,
,,Chaveiros Stitch.,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,10,,,,
,,Garrafa Stitch.,,,,,,,,,,,,,,44.00,,,,,,,,,,,,,,5,,,,
,,Pastas Elastico.,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,8,,,,
